Longitude,Latitude,House_Age,Total_Rooms,Total_Bedrooms,Bathrooms,Parking,Dist_Mall_KM,Dist_Metro_KM,Price_Crore
72.8819,18.9269,3,4,3,4,0,0.43,0.29,13.07
72.8398,18.9072,3,4,3,3,2,1.53,1.84,14.14
72.7834,19.0582,16,3,2,2,0,0.41,0.35,7.45
72.8275,18.9183,3,4,2,2,1,0.43,0.46,11.99
72.8998,18.9942,8,3,1,1,1,3.38,3.02,10.63
72.8048,18.9527,0,2,1,1,1,1.17,0.95,5.57
72.8578,18.9335,2,2,1,1,0,0.11,0.11,5.31
72.7866,18.8914,12,5,3,4,1,8.01,9.71,6.24
72.8299,18.9808,27,5,3,4,1,5.39,3.63,15.99
72.8157,18.8827,3,4,3,3,0,4.28,4.48,9.14
72.8088,18.8774,21,3,1,1,0,2.87,1.99,4.69
72.8111,18.8895,32,4,2,2,1,3.84,2.9,6.23
72.8724,18.9554,7,2,1,1,2,2.09,2.01,10.12
72.8613,19.0277,6,4,3,3,1,3.93,4.37,17.87
72.8547,19.0311,6,3,2,2,0,8.79,6.23,8.48
72.847,18.9316,24,5,3,3,1,2.33,2.87,9.88
72.8951,18.9898,29,4,3,4,1,2.85,3.14,14.68
72.8058,18.9341,33,3,2,2,1,1.23,1.32,5.52
72.8501,18.8871,20,3,1,1,2,0.44,0.44,6.45
72.8259,19.0665,11,3,2,2,0,0.85,0.59,14.08
72.8755,18.9453,14,3,1,1,2,0.57,0.46,7.51
72.7973,19.0451,26,4,3,4,1,1.05,1.25,9.88
72.8723,18.9869,50,4,2,2,1,0.54,0.44,9.08
72.8255,19.0462,19,4,3,4,0,5.31,4.78,13.28
72.807,19.066,3,4,3,3,0,0.61,0.68,12.7
72.8806,18.9742,44,3,1,1,0,6.17,7.26,2.92
72.8104,19.0411,7,2,1,1,1,2.94,2.09,5.08
72.8652,19.0158,8,3,2,2,0,4.56,3.27,11.4
72.8605,18.9021,5,4,3,3,1,0.52,0.45,13.61
72.8709,18.9199,11,2,1,1,1,0.4,0.36,5.09
72.8223,18.8871,8,2,1,1,1,13.13,12.62,1.23
72.8911,18.8875,4,4,3,3,0,1.21,1.34,11.41
72.8515,18.9847,50,3,2,2,0,14.15,10.33,2.12
72.8738,19.0114,1,4,3,3,1,1.21,1.44,24.24
72.8275,19.0263,3,3,2,2,1,12.82,9.45,6.75
72.8533,18.9966,3,4,2,2,0,2.07,1.9,17.18
72.84,18.9605,28,3,2,2,1,11.82,8.1,5.19
72.8551,18.9172,7,2,1,1,1,2.24,2.52,4.55
72.8892,18.9184,50,2,1,1,0,2.37,2.91,1.75
72.8126,18.9993,3,3,2,2,0,3.65,2.52,7.37
72.8857,18.923,14,3,1,1,0,0.38,0.35,6.17
72.8763,18.9824,6,5,3,4,1,1.66,1.93,25.77
72.9,18.9617,41,2,1,1,0,2.39,2.35,4.64
72.8858,18.888,27,2,1,1,0,0.6,0.42,3.59
72.8559,18.9308,4,5,3,3,0,2.22,2.28,12.21
72.8273,18.9635,6,2,1,1,1,1.97,1.33,9.52
72.8972,18.9499,5,3,2,3,1,0.23,0.24,11.3
72.8031,18.9592,3,4,2,2,0,1.73,1.77,9.48
72.8872,18.9071,46,3,1,1,1,3.31,2.28,3.31
72.7858,18.9449,3,4,3,3,0,1.81,2.22,10.78
72.8521,18.8828,12,5,3,3,1,2.73,2.62,11.92
72.8544,18.9955,23,4,3,3,2,0.73,0.53,20.91
72.8336,18.8822,4,2,1,1,1,5.11,3.68,4.44
72.8964,18.9786,24,2,1,1,2,3.59,3.83,6.79
72.8455,18.9037,5,3,2,2,0,5.09,4.93,6.14
72.8011,19.06,20,4,2,3,0,0.59,0.51,8.9
72.8481,19.0187,6,3,2,2,1,1.2,1.13,16.15
72.86,18.9461,0,4,3,3,2,4.28,4.54,11.07
72.8529,18.896,2,4,2,3,2,0.84,1.0,13.53
72.8298,18.9429,14,3,2,2,1,2.61,2.12,7.38
72.8088,18.9621,13,3,2,3,0,2.34,2.46,7.07
72.8504,18.9655,48,4,2,2,2,6.29,5.46,6.32
72.8091,19.0482,49,3,2,2,0,1.51,1.31,3.96
72.8199,18.8696,26,4,2,2,2,0.99,0.73,9.27
72.8143,19.0389,44,2,1,1,0,2.57,2.3,2.16
72.8406,18.8744,8,2,1,1,2,0.74,0.73,5.62
72.8718,18.9913,1,2,1,1,1,0.26,0.18,10.79
72.8316,18.9628,16,3,1,1,1,0.38,0.38,11.64
72.8602,18.8826,6,4,2,2,0,0.31,0.31,10.07
72.797,18.9161,1,3,1,1,0,1.13,0.94,6.34
72.8998,18.9741,4,2,1,1,1,3.59,3.51,7.81
72.8567,19.0027,4,2,1,1,1,8.77,7.18,4.98
72.7987,19.0599,44,2,1,1,1,7.26,5.72,1.81
72.8279,18.953,17,3,2,2,1,5.44,4.58,10.07
72.8997,18.8809,33,4,2,2,1,0.52,0.46,7.45
72.836,18.9409,5,2,1,1,1,3.06,2.42,4.78
72.8113,18.9156,36,5,3,3,1,0.2,0.22,10.11
72.7842,18.9273,32,4,3,4,1,0.6,0.67,9.21
72.8787,19.0087,8,3,2,2,1,0.98,1.03,16.37
72.8008,19.0057,10,4,2,2,1,0.4,0.41,10.92
72.8542,18.9864,1,3,2,2,0,1.39,1.05,15.25
72.8379,18.9701,11,2,1,1,1,1.3,1.21,9.07
72.8598,18.9329,5,2,1,1,1,4.64,3.98,4.06
72.8634,18.9392,13,3,2,2,1,0.37,0.26,9.28
72.8526,18.903,0,3,2,2,0,0.31,0.27,9.2
72.8669,18.9064,11,3,2,2,2,0.1,0.1,10.44
72.8733,19.0246,4,4,3,3,1,1.99,2.15,22.11
72.8258,18.9133,22,4,3,3,1,0.53,0.37,10.8
72.8552,18.9281,2,2,1,1,1,0.77,0.65,5.75
72.7929,18.9324,0,4,3,3,2,8.34,5.65,9.04
72.8274,19.0524,38,2,1,1,1,4.09,4.09,4.26
72.8271,18.9846,12,3,2,2,0,7.01,4.98,9.18
72.8048,18.9957,21,2,1,1,0,0.15,0.16,4.09
72.7847,19.0292,2,3,2,2,0,2.18,1.64,8.47
72.8134,18.9444,0,4,2,2,1,2.2,1.47,11.3
72.8945,19.0221,7,4,2,2,0,2.75,3.38,14.55
72.8704,18.9644,4,2,1,1,1,0.4,0.48,11.0
72.8529,18.9679,1,4,3,3,2,5.48,3.84,20.74
72.8449,18.881,20,2,1,1,1,3.3,3.79,3.62
72.8801,18.9442,4,3,2,2,0,2.22,2.29,7.56
72.8351,18.9555,1,3,2,2,1,2.07,1.77,16.95
72.8471,19.0352,15,2,1,1,2,4.62,4.2,7.5
72.7847,19.0544,13,2,1,1,1,4.63,5.39,3.22
72.7905,19.0331,5,3,2,2,1,0.64,0.46,9.84
72.8428,18.9932,1,2,1,1,1,2.56,2.65,9.08
72.8023,18.9749,9,3,2,2,1,4.62,3.09,7.18
72.8436,18.9688,18,4,3,4,1,3.58,2.5,18.33
72.8587,18.9411,3,3,1,1,1,1.7,2.05,6.75
72.8418,19.0507,10,3,1,1,1,3.51,4.26,9.29
72.822,18.9516,13,3,2,2,1,2.43,2.02,13.69
72.8401,18.9365,11,2,1,1,2,9.5,8.41,3.15
72.8791,18.9943,9,4,3,3,1,4.7,4.09,17.45
72.8221,18.9138,36,4,2,2,1,1.13,1.27,6.72
72.8229,18.9839,3,3,2,3,1,3.13,3.22,15.47
72.8537,19.0075,20,2,1,1,0,1.54,1.36,7.07
72.8811,18.8901,14,2,1,1,1,4.51,3.09,3.98
72.7917,18.9376,11,4,3,4,1,5.04,4.12,9.03
72.8981,18.9571,10,4,2,2,1,1.42,1.18,18.51
72.8799,19.0578,14,2,1,1,0,1.72,1.87,7.52
72.8994,18.9901,49,3,2,2,2,3.3,2.91,6.84
72.8807,19.0327,32,2,1,1,0,4.11,3.46,4.33
72.7861,18.8707,7,4,3,3,0,7.6,5.21,7.55
72.8537,18.9161,35,2,1,1,1,3.75,2.74,2.74
72.8755,18.9876,33,3,2,2,1,0.62,0.71,10.71
72.8925,18.9829,16,3,1,1,0,0.88,0.74,10.76
72.8409,19.0273,12,4,3,3,0,0.4,0.46,20.15
72.8009,18.8962,2,3,2,3,2,3.22,2.15,10.33
72.8104,18.9543,22,3,2,2,2,0.78,0.66,8.86
72.8862,18.9204,16,3,2,2,2,2.99,2.97,7.84
72.8365,18.8819,10,4,3,4,1,4.76,3.46,10.71
72.8674,18.8751,7,4,2,3,0,1.23,0.84,10.57
72.8832,19.0572,27,4,3,3,0,8.07,6.23,8.75
72.7997,18.9252,4,2,1,1,2,0.14,0.1,6.88
