Longitude,Latitude,House_Age,Total_Rooms,Total_Bedrooms,Bathrooms,Parking,Dist_Mall_KM,Dist_Metro_KM,prediction
72.842,19.0116,1,4,2,2,0,2.09,1.42,17.622799999999998
72.8107,19.0342,20,4,3,3,1,1.85,1.81,10.533300000000004
72.8746,18.9772,9,4,3,3,1,3.77,3.15,18.8305
72.8936,19.006,21,2,1,1,0,4.66,4.38,5.6849
72.8241,18.945,19,2,1,1,0,6.13,5.05,3.096800000000002
72.8861,18.9748,16,3,2,2,1,0.63,0.54,15.152800000000006
72.8018,19.0457,12,3,2,2,0,0.73,0.52,7.8843
72.838,18.9922,3,2,1,1,2,3.2,3.24,9.068199999999992
72.8824,18.9738,4,4,2,2,1,4.55,4.13,15.3835
72.7845,19.0648,6,4,2,2,1,1.02,0.72,11.195400000000006
72.8011,18.9246,17,2,1,1,0,2.41,1.98,4.207300000000001
72.8424,18.9953,5,2,1,1,0,1.37,1.62,8.5998
72.8415,18.994,5,4,3,3,0,0.44,0.43,22.865299999999994
72.8919,19.0076,43,4,3,4,1,0.57,0.65,13.31059999999999
72.8808,18.9433,4,3,2,2,1,9.56,6.61,5.5252
72.7906,19.0532,27,2,1,1,0,0.8,0.66,3.8940999999999986
72.8809,18.894,2,3,2,2,1,2.66,1.86,9.041000000000007
72.8278,18.9502,12,3,1,1,1,0.41,0.35,11.552399999999999
72.8592,19.0664,9,2,1,1,1,1.44,1.2,9.155500000000004
72.7928,18.9621,16,4,3,3,1,0.6,0.47,11.8371
72.8569,19.055,28,4,2,2,0,0.48,0.35,14.181400000000007
72.8102,18.9481,0,2,1,1,1,1.43,1.03,5.557200000000006
72.8286,18.9181,2,4,3,3,1,5.67,4.2,10.634800000000002
72.8594,18.9502,5,4,3,3,1,0.51,0.44,22.69120000000001
72.8205,18.9134,20,4,3,3,1,0.14,0.1,11.386999999999993
72.8646,19.0374,16,4,2,2,1,4.3,3.87,13.575399999999993
72.8878,18.8795,18,3,2,2,2,0.92,1.05,8.78409999999999
72.8716,19.0558,8,5,3,3,1,0.45,0.48,26.605200000000004
72.8811,18.9169,11,2,1,1,0,0.13,0.13,4.917999999999994
72.8173,18.8799,18,3,1,1,1,1.54,1.21,6.085500000000001
72.8961,18.9413,0,3,2,2,1,3.2,2.56,8.527500000000002
72.8924,18.9375,1,2,1,1,1,0.69,0.66,5.888299999999999
72.8162,19.0186,33,3,2,2,1,3.8,3.45,5.582200000000001
72.8885,18.9312,20,3,1,1,0,1.17,1.2,5.270599999999998
72.8484,18.96,19,4,3,3,0,3.67,4.35,15.497700000000002
72.8342,18.9554,0,3,2,3,0,3.23,3.04,13.74480000000002
72.8671,18.8819,0,3,2,2,1,0.12,0.1,10.359599999999991
72.869,18.9401,24,3,2,2,2,5.21,6.5,4.807299999999999
72.8885,19.0099,17,3,1,1,1,0.6,0.62,11.906000000000004
72.7869,19.0407,15,2,1,1,1,1.45,1.52,4.645399999999999
72.7889,18.874,14,3,2,2,1,3.52,3.15,7.2380999999999975
72.7894,18.8921,14,4,3,3,0,0.61,0.69,11.4522
72.811,18.9344,0,3,2,2,2,3.53,2.75,8.598599999999998
72.8562,19.0561,3,2,1,1,0,0.76,0.59,9.380999999999998
72.8961,18.8801,20,2,1,1,1,3.94,2.95,3.5387999999999984
72.7895,19.0263,13,2,1,1,1,1.85,1.24,4.6701999999999995
72.8038,18.8737,5,2,1,1,0,2.29,2.41,4.6717
72.7852,18.9288,8,3,1,1,1,0.4,0.45,7.300100000000006
72.8703,18.8693,0,4,2,3,1,1.76,1.65,11.675700000000004
72.8518,18.9061,50,3,1,1,0,4.68,3.8,2.8196999999999997
72.8543,18.8694,0,5,3,3,2,1.58,1.62,15.526699999999998
72.7848,19.0274,9,4,3,4,2,1.8,1.5,13.459099999999992
72.8404,18.9999,13,3,2,2,0,2.11,2.36,12.13849999999999
72.8242,18.9615,39,3,2,2,2,10.05,10.28,4.143600000000001
72.7867,19.0036,7,5,3,4,1,3.21,2.25,11.9
72.828,18.9345,13,5,3,4,1,2.39,2.62,11.533500000000002
